*** Config ***
RB DL #0;25
RB UL #0;25
CAPS;1
Max UE;1
Power on duration;20
Power off duration;10
UE;10

*** Scripts ***
UE ID;Name;Type;Start;Stop;Status;Result
65.027;469;1041;0;0;1;0;0;1
66.131;2649;4640;0;0;1;0;0;1
67.239;8700;9459;0;0;1;0;0;1
68.348;16028;16699;0;0;1;0;0;1
69.463;7992;8000;0;0;1;0;0;1
70.575;8828;3341;0;0;1;0;0;1
71.682;390;0;0;0;1;0;0;0
72.793;259;756;0;0;1;0;0;1
73.901;259;1516;0;0;1;0;0;1
75.009;259;0;0;0;1;0;0;0
76.022;284;0;0;0;1;0;0;0
77.130;260;0;0;0;1;0;0;0
78.239;3214;8785;0;0;1;0;0;1
79.348;4400;13316;0;0;1;0;0;1
80.460;18117;42808;0;0;1;0;0;1
81.569;44422;48836;0;0;1;0;0;1
82.675;50254;50551;0;0;1;0;0;1
83.786;432;2731;0;0;1;0;0;1
84.891;2329;4636;0;0;1;0;0;1
86.000;259;0;0;0;1;0;0;0
87.025;281;0;0;0;1;0;0;0
88.130;260;1518;0;0;1;0;0;1
89.238;260;1806;0;0;1;0;0;1
90.347;156234;11433;0;0;1;0;0;1
91.459;156086;8683;0;0;1;0;0;1
92.568;156465;8266;0;0;1;0;0;1
93.678;156987;11790;0;0;1;0;0;1
94.788;234743;17231;0;0;1;0;0;1
95.896;156519;8945;0;0;1;0;0;1
97.001;27931;28647;0;0;1;0;0;1
98.026;49375;48898;0;0;1;0;0;1
99.131;47638;45613;0;0;1;0;0;1
100.242;36108;43870;0;0;1;0;0;1
101.352;43603;40756;0;0;1;0;0;1
102.462;1612;2786;0;0;1;0;0;1
103.569;433;0;0;0;1;0;0;0
104.679;432;957;0;0;1;0;0;1
105.791;374;0;0;0;1;0;0;0
106.896;564;2799;0;0;1;0;0;1
108.006;670;1881;0;0;1;0;0;1
109.024;13954;16047;0;0;1;0;0;1
110.130;8723;10871;0;0;1;0;0;1
111.234;8499;9093;0;0;1;0;0;1
112.341;17518;12325;0;0;1;0;0;1
113.451;518;0;0;0;1;0;0;0
114.560;778;1045;0;0;1;0;0;1
115.671;518;0;0;0;1;0;0;0
116.780;519;0;0;0;1;0;0;0
117.885;520;0;0;0;1;0;0;0
118.997;518;0;0;0;1;0;0;0
120.027;7130;9079;0;0;1;0;0;1
121.133;24028;29215;0;0;1;0;0;1
122.244;13681;20723;0;0;1;0;0;1
123.353;7063;13189;0;0;1;0;0;1
124.461;6677;16867;0;0;1;0;0;1
125.570;8367;16634;0;0;1;0;0;1
126.682;2484;3859;0;0;1;0;0;1
127.792;8987;10190;0;0;1;0;0;1
128.901;8339;9558;0;0;1;0;0;1
130.011;16014;16799;0;0;1;0;0;1
131.022;9780;5325;0;0;1;0;0;1
132.130;260;961;0;0;1;0;0;1
133.236;260;0;0;0;1;0;0;0
134.342;260;0;0;0;1;0;0;0
135.454;388;0;0;0;1;0;0;0
136.565;259;957;0;0;1;0;0;1
137.672;260;0;0;0;1;0;0;0
138.782;259;1044;0;0;1;0;0;1
139.890;260;0;0;0;1;0;0;0
141.000;389;2003;0;0;1;0;0;1
142.024;0;0;0;0;0;0;0;0
143.130;0;0;0;0;0;0;0;0
144.240;331;835;0;0;1;0;0;1
145.351;3264;4619;0;0;1;0;0;1
146.461;9311;10306;0;0;1;0;0;1
147.581;16471;18633;0;0;1;0;0;1
148.693;8684;9072;0;0;1;0;0;1
149.803;10133;5232;0;0;1;0;0;1
150.913;235355;15445;0;0;1;0;0;1
152.024;158068;11524;0;0;1;0;0;1
153.131;158440;10397;0;0;1;0;0;1
154.274;153429;10227;0;0;1;0;0;1
155.385;236568;14366;0;0;1;0;0;1
156.497;1627;2671;0;0;1;0;0;1
157.606;17457;22225;0;0;1;0;0;1
158.717;6207;11701;0;0;1;0;0;1
159.827;6725;12630;0;0;1;0;0;1
160.934;18341;21304;0;0;1;0;0;1
162.024;31030;32999;0;0;1;0;0;1
163.130;520;0;0;0;1;0;0;0
164.238;520;0;0;0;1;0;0;0
165.347;779;0;0;0;1;0;0;0
166.451;933;1889;0;0;1;0;0;1
167.564;11431;16035;0;0;1;0;0;1
168.674;8194;9670;0;0;1;0;0;1
169.786;15884;16295;0;0;1;0;0;1
170.891;9186;3269;0;0;1;0;0;1
172.004;388;0;0;0;1;0;0;0
173.025;282;1136;0;0;1;0;0;1
174.129;260;0;0;0;1;0;0;0
175.239;259;0;0;0;1;0;0;0
176.348;259;0;0;0;1;0;0;0
177.460;388;3499;0;0;1;0;0;1
178.570;1512;6336;0;0;1;0;0;1
179.679;11700;42568;0;0;1;0;0;1
180.789;34609;38363;0;0;1;0;0;1
181.897;40447;39509;0;0;1;0;0;1
183.005;32447;44895;0;0;1;0;0;1
184.022;7299;20884;0;0;1;0;0;1
185.129;433;1924;0;0;1;0;0;1
186.239;2284;4151;0;0;1;0;0;1
187.348;8936;10162;0;0;1;0;0;1
188.460;16144;19009;0;0;1;0;0;1
189.570;8079;8842;0;0;1;0;0;1
190.680;9138;2270;0;0;1;0;0;1
191.793;233755;13920;0;0;1;0;0;1
192.900;78843;6764;0;0;1;0;0;1
194.010;157088;11200;0;0;1;0;0;1
195.022;256000;14207;0;0;1;0;0;1
196.130;143190;7074;0;0;1;0;0;1
197.253;13563;2756;0;0;1;0;0;1
198.363;6198;20086;0;0;1;0;0;1
199.473;10167;28262;0;0;1;0;0;1
200.585;8842;22999;0;0;1;0;0;1
201.696;34388;43366;0;0;1;0;0;1
202.805;26402;42236;0;0;1;0;0;1
203.917;5357;5198;0;0;1;0;0;1
205.022;650;0;0;0;1;0;0;0
206.130;433;0;0;0;1;0;0;0
207.239;432;756;0;0;1;0;0;1
208.348;432;1745;0;0;1;0;0;1
209.461;2633;4611;0;0;1;0;0;1
210.573;8546;10899;0;0;1;0;0;1
211.683;15913;17801;0;0;1;0;0;1
212.793;8028;8036;0;0;1;0;0;1
213.901;8851;2851;0;0;1;0;0;1
215.013;311122;20525;0;0;1;0;0;1
216.024;171647;11806;0;0;1;0;0;1
217.130;156964;10247;0;0;1;0;0;1
218.240;78688;4929;0;0;1;0;0;1
219.352;234412;14459;0;0;1;0;0;1
220.462;78214;6135;0;0;1;0;0;1
221.573;25657;26767;0;0;1;0;0;1
